프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
* 나혼자산다,MBC,금,153333,167287,228161,477440,482335
슈퍼맨이 돌아왔다,KBS2,금,44310,63719,91607,147878,228784
신상출시 편스토랑,KBS2,금,49657,63444,89325,179038,301704
요즘 육아 금쪽같은 내 새끼,채널A,금,9236,32287,41203,106878,147654
홍진경의 영화로운 덕후생활,tvN,금,25424,34470,35897,141318,107273
오은영의 금쪽상담소,채널A,금,9024,17824,25247,34410,75025
비긴어게인 - 인터미션,JTBC,금,38213,41003,39253,91403,109928
* 나혼자산다,MBC,금,111913,169890,210772,531735,466777
슈퍼맨이 돌아왔다,KBS2,금,40451,44462,85860,123770,166676
신상출시 편스토랑,KBS2,금,60474,44932,86228,166206,248567
요즘 육아 금쪽같은 내 새끼,채널A,금,24862,34670,28999,77646,95586
홍진경의 영화로운 덕후생활,tvN,금,38815,43770,30475,109491,109674
오은영의 금쪽상담소,채널A,금,7173,26732,24547,30385,77148
국가가 부른다,TV CHOSUN,금,7585,30744,79798,60140,80955
비긴어게인 - 인터미션,JTBC,금,22246,20568,17056,70085,81163
서진이네,tvN,금,170435,228424,200112,631209,460005
* 나혼자산다,MBC,금,84959,137438,202198,523772,396321
슈퍼맨이 돌아왔다,KBS2,금,26175,38734,64534,87935,145977
신상출시 편스토랑,KBS2,금,53106,23844,86310,127880,184279
요즘 육아 금쪽같은 내 새끼,채널A,금,26693,12900,34027,46964,78667
홍진경의 영화로운 덕후생활,tvN,금,36998,29444,37151,100364,98229
오은영의 금쪽상담소,채널A,금,11415,13448,17997,27039,39921
국가가 부른다,TV CHOSUN,금,2142,17854,39499,45576,67567
서진이네,tvN,금,184396,143333,195384,524818,560049
팬텀싱어4,JTBC,금,16589,27519,69094,65923,97981
* 나혼자산다,MBC,금,131281,115412,234398,615745,457931
슈퍼맨이 돌아왔다,KBS2,금,22435,28107,104634,88728,162098
신상출시 편스토랑,KBS2,금,42068,24832,105190,136385,201885
요즘 육아 금쪽같은 내 새끼,채널A,금,6030,11606,40172,36057,70065
홍진경의 영화로운 덕후생활,tvN,금,49600,25287,40949,87704,94112
오은영의 금쪽상담소,채널A,금,2823,9588,37842,18057,70850
국가가 부른다,TV CHOSUN,금,7069,28818,38886,38801,90046
결혼 말고 동거,채널A,금,5951,1863,7367,18072,28348
서진이네,tvN,금,152723,166712,179248,424061,593096
팬텀싱어4,JTBC,금,21349,20775,52664,63693,83439
내일은 위닝샷,MBN,금,3964,6487,24009,17373,37163
제59회 백상예술대상,JTBC,금,15031,17606,22044,38410,36287
* 나혼자산다,MBC,금,123895,118053,211967,484616,478171
신상출시 편스토랑,KBS2,금,51180,33358,92931,130947,250788
요즘 육아 금쪽같은 내 새끼,채널A,금,13559,18867,52764,57167,91078
홍진경의 영화로운 덕후생활,tvN,금,29198,30183,42509,87266,92048
오은영의 금쪽상담소,채널A,금,12719,20439,29280,37447,89691
서진이네,tvN,금,167525,154233,139765,432549,426207
팬텀싱어4,JTBC,금,30830,14824,39873,68075,93183
내일은 위닝샷,MBN,금,3668,8210,16822,16007,37796
더 시즌즈-최정훈의 밤의 공원,KBS2,금,2951,11966,11000,40963,49739
뿅뿅 지구오락실2,tvN,금,95361,69068,191448,271019,194225
하트시그널 시즌4,채널A,금,548,7059,11029,16562,21502
* 나혼자산다,MBC,금,151609,139894,228816,520247,513951
신상출시 편스토랑,KBS2,금,43985,37957,90243,140774,215431
요즘 육아 금쪽같은 내 새끼,채널A,금,9230,15644,56396,59591,91929
홍진경의 영화로운 덕후생활,tvN,금,29649,29563,52115,88789,88913
오은영의 금쪽상담소,채널A,금,9146,19448,34875,40673,76419
팬텀싱어4,JTBC,금,11666,8689,13446,41125,80041
내일은 위닝샷,MBN,금,12253,11720,16241,28378,40594
더 시즌즈-최정훈의 밤의 공원,KBS2,금,18912,14929,38200,48694,78928
뿅뿅 지구오락실2,tvN,금,95124,76297,196506,229840,214268
하트시그널 시즌4,채널A,금,3587,18202,17345,28165,34251
귀염뽕짝 원정대,TV CHOSUN,금,13226,25890,59837,82429,113668
RU NEXT?,JTBC,금,15988,7330,19280,32819,73476
* 나혼자산다,MBC,금,136439,146719,220851,538591,519763
신상출시 편스토랑,KBS2,금,62304,47842,108643,149322,277187
요즘 육아 금쪽같은 내 새끼,채널A,금,17050,17562,41589,57763,95268
홍진경의 영화로운 덕후생활,tvN,금,28134,33192,29213,84596,80646
오은영의 금쪽상담소,채널A,금,28136,11629,42919,63354,71809
더 시즌즈-최정훈의 밤의 공원,KBS2,금,25189,14885,58034,56622,107751
뿅뿅 지구오락실2,tvN,금,110651,104047,154373,291221,268069
하트시그널 시즌4,채널A,금,16891,19879,30924,61294,47256
귀염뽕짝 원정대,TV CHOSUN,금,18437,33023,53872,64958,98685
RU NEXT?,JTBC,금,6282,3772,12811,17468,33247
쇼킹 나이트,MBN,금,4181,10908,23926,48527,71821
* 나혼자산다,MBC,금,138939,133490,194616,550149,484225
신상출시 편스토랑,KBS2,금,50839,52737,100611,146828,274394
요즘 육아 금쪽같은 내 새끼,채널A,금,18617,13556,30405,37684,73226
홍진경의 영화로운 덕후생활,tvN,금,17873,20754,21680,93819,75003
오은영의 금쪽상담소,채널A,금,7508,25706,19264,28794,84837
더 시즌즈-최정훈의 밤의 공원,KBS2,금,14183,7187,48790,60016,62318
하트시그널 시즌4,채널A,금,5708,38074,29165,62488,50899
RU NEXT?,JTBC,금,8170,5734,10939,13177,26784
쇼킹 나이트,MBN,금,11531,6866,20594,62931,47773
조선체육회,TV CHOSUN,금,9025,47500,42632,38847,97707
형따라 마야로 : 아홉 개의 열쇠,tvN,금,59234,61987,70887,180102,192846
2023 새만금 세계스카우트잼버리 케이팝 슈퍼라이브,KBS2,금,163675,119470,167389,320084,522219
택배는 몽골몽골,JTBC,금,13469,15617,24079,56451,97619
신상출시 편스토랑,KBS2,금,44240,45270,90963,129454,219735
요즘 육아 금쪽같은 내 새끼,채널A,금,8871,26274,50012,41845,64080
쇼킹 나이트,MBN,금,8560,12553,15541,27744,62244
조선체육회,TV CHOSUN,금,9202,18027,30132,30495,57197
형따라 마야로 : 아홉 개의 열쇠,tvN,금,29573,23212,43956,77788,122296
택배는 몽골몽골,JTBC,금,13527,13754,32622,53896,64869
더 시즌즈-악뮤의 오날오밤,KBS2,금,34884,41117,34716,86200,124514
애프터시그널,채널A,금,1914,18394,10180,48800,38292
남의 나라 살아요 - 선 넘은 패밀리,채널A,금,25801,4859,14990,38761,59458
김연자★진성 한가위 빅쇼 만월만복,KBS2,금,2489,42457,107061,56282,144068
* 나혼자산다,MBC,금,57160,139933,189264,423455,492571
신상출시 편스토랑,KBS2,금,53612,44246,60537,120173,215717
요즘 육아 금쪽같은 내 새끼,채널A,금,11398,14879,62532,41629,70992
조선체육회,TV CHOSUN,금,5015,17260,23255,30151,63113
택배는 몽골몽골,JTBC,금,20616,9422,32751,51538,136318
더 시즌즈-악뮤의 오날오밤,KBS2,금,36006,29126,36261,80133,67351
남의 나라 살아요 - 선 넘은 패밀리,채널A,금,6444,7879,25311,32044,46356
오빠시대,MBN,금,8321,18616,47805,43318,120612
콩 심은데 콩 나고 팥 심은데 팥 난다 (콩콩팥팥),tvN,금,60300,95807,139963,264190,250303
골든걸스,KBS2,금,60687,50629,73677,125202,193014
* 나혼자산다,MBC,금,78053,102805,166131,412873,360338
신상출시 편스토랑,KBS2,금,32300,33057,88644,107318,164145
요즘 육아 금쪽같은 내 새끼,채널A,금,7071,28179,39598,24812,69295
더 시즌즈-악뮤의 오날오밤,KBS2,금,4630,21302,18281,39047,34550
남의 나라 살아요 - 선 넘은 패밀리,채널A,금,4082,19215,14449,20493,78285
오빠시대,MBN,금,4695,13725,35092,33339,72813
콩 심은데 콩 나고 팥 심은데 팥 난다 (콩콩팥팥),tvN,금,95389,94616,147526,340296,310395
골든걸스,KBS2,금,17453,53477,80650,145466,149558
제 44회 청룡영화상,KBS2,금,35336,87690,125127,237940,287137
* 나혼자산다,MBC,금,93668,117599,152556,475451,362447
신상출시 편스토랑,KBS2,금,53697,38995,76189,138333,169629
요즘 육아 금쪽같은 내 새끼,채널A,금,8156,12555,27656,34485,62334
더 시즌즈-악뮤의 오날오밤,KBS2,금,15443,15532,18583,35486,50293
남의 나라 살아요 - 선 넘은 패밀리,채널A,금,4720,9724,11276,27803,64502
오빠시대,MBN,금,16026,25145,40787,63079,119729
콩 심은데 콩 나고 팥 심은데 팥 난다 (콩콩팥팥),tvN,금,92806,60591,104421,355804,234099
골든걸스,KBS2,금,29709,35357,68257,169481,147474
세모집,TV CHOSUN,금,12860,11849,26546,40690,33886
2023 뮤직뱅크 글로벌 페스티벌,KBS2,금,89485,30751,99469,112949,103316
2023 MBC 방송연예대상,MBC,금,94815,185039,247681,419251,371397
2023 SBS 연기대상,SBS,금,75763,55463,102690,189910,233133
