프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
나는 몸신이다,채널A,목,5318,5533,15585,16673,22960
홍김동전,KBS2,목,26048,36902,59139,155239,124057
한문철의 블랙박스 리뷰,JTBC,목,57693,80487,102518,229429,324736
사랑의 이해,JTBC,수목,43565,38949,55002,169686,178337
스킵,tvN,목,28835,20315,29330,99302,67252
미스터트롯2,TV CHOSUN,목,169415,273723,327171,468614,1080638
조선 정신과 의사 유세풍2,tvN,수목,33468,50331,34443,144175,218272
나는 몸신이다,채널A,목,7269,3268,14811,22353,31183
홍김동전,KBS2,목,21492,39586,42075,119621,100128
한문철의 블랙박스 리뷰,JTBC,목,66569,81967,103365,239885,318586
사랑의 이해,JTBC,수목,55665,53496,66905,184559,193401
스킵,tvN,목,17161,13115,32166,69312,48990
미스터트롯2,TV CHOSUN,목,110323,259830,340794,391931,951445
조선 정신과 의사 유세풍2,tvN,수목,22463,21164,33119,97940,159295
성스러운 아이돌,tvN,수목,37345,29899,30199,128901,124000
나는 몸신이다,채널A,목,4232,6486,11215,19368,23325
홍김동전,KBS2,목,19626,34417,61224,131121,132722
한문철의 블랙박스 리뷰,JTBC,목,49811,62761,90839,187436,253581
미스터트롯2,TV CHOSUN,목,100219,257228,311092,393302,860245
성스러운 아이돌,tvN,수목,33592,25701,30503,99298,126299
노머니 노아트,KBS2,목,4317,7965,32210,37061,58661
소년판타지 - 방과후 설렘 시즌2,MBC,목,20965,9764,25801,47042,90972
수학 없는 수학여행,SBS,목,28368,34345,84072,116275,126863
텐트 밖은 유럽 스페인 편,tvN,목,75183,48294,63671,196414,238769
"글로벌 퇴슐랭, 퇴근 후 한 끼",JTBC,목,22340,41106,39978,60790,93983
"나만 믿고 먹어봐, 도시횟집",채널A,목,5034,29100,20377,53810,143970
나는 몸신이다,채널A,목,10900,4947,5845,19728,35511
홍김동전,KBS2,목,26474,16270,66277,102939,108978
한문철의 블랙박스 리뷰,JTBC,목,57010,54047,124317,208964,259830
노머니 노아트,KBS2,목,10076,14537,35307,39197,93225
소년판타지 - 방과후 설렘 시즌2,MBC,목,15390,12620,22328,52884,43319
수학 없는 수학여행,SBS,목,19696,47001,55228,66279,120585
텐트 밖은 유럽 스페인 편,tvN,목,59511,52216,71482,164042,248281
"글로벌 퇴슐랭, 퇴근 후 한 끼",JTBC,목,22675,26721,43607,51066,78210
"나만 믿고 먹어봐, 도시횟집",채널A,목,6035,13541,17648,59786,88843
스틸러 : 일곱 개의 조선통보,tvN,수목,63060,50464,32304,128820,236017
신들의 사생활2:그리스 로마 신화,MBN,목,3011,24707,21795,34014,77021
미스터트롯2 토크콘서트,TV CHOSUN,목,50052,91520,163763,179321,384315
나쁜엄마,JTBC,수목,45806,36706,91256,176121,244468
나는 몸신이다,채널A,목,8218,3062,14356,21553,23981
홍김동전,KBS2,목,26317,28367,60549,120564,126757
한문철의 블랙박스 리뷰,JTBC,목,89487,72110,108199,258637,277495
노머니 노아트,KBS2,목,8453,7565,16868,26177,46886
소년판타지 - 방과후 설렘 시즌2,MBC,목,25488,14043,46649,70629,82679
수학 없는 수학여행,SBS,목,26623,35813,79703,116032,130557
텐트 밖은 유럽 스페인 편,tvN,목,11924,53781,88613,124186,222062
"나만 믿고 먹어봐, 도시횟집",채널A,목,2197,16451,20113,35898,72547
스틸러 : 일곱 개의 조선통보,tvN,수목,42213,37262,24967,102647,129753
고기서 만나,채널A,목,16959,4760,20754,36070,25261
신들의 사생활2:그리스 로마 신화,MBN,목,4270,18916,23367,26724,47491
나쁜엄마,JTBC,수목,99936,93621,153927,319270,536762
박종인의 땅의 역사,TV CHOSUN,목,2665,3139,12154,29813,29883
텐트 밖은 유럽 노르웨이편,tvN,목,56896,56057,115370,197386,301861
미스터로또,TV CHOSUN,목,27849,67573,146491,118003,322116
댄스가수 유랑단,tvN,목,50622,43173,101398,183280,219579
구해줘 홈즈,MBC,목,39200,29936,75456,119304,152912
꼬리에 꼬리를 무는 그날 이야기,SBS,목,65418,51947,121661,182745,175023
홍김동전,KBS2,목,37272,24980,72326,110179,85043
소년판타지 - 방과후 설렘 시즌2,MBC,목,7587,9793,12351,23637,52002
"나만 믿고 먹어봐, 도시횟집",채널A,목,6810,18330,15231,20121,53499
고기서 만나,채널A,목,2812,2047,11021,10449,21243
신들의 사생활2:그리스 로마 신화,MBN,목,15348,15570,16901,34678,63154
나쁜엄마,JTBC,수목,165613,138753,245647,512526,693154
텐트 밖은 유럽 노르웨이편,tvN,목,45729,64070,72503,173822,261941
미스터로또,TV CHOSUN,목,23867,59965,128325,106842,271105
댄스가수 유랑단,tvN,목,43714,43697,113180,213250,225471
세컨 하우스2,KBS2,목,56289,42897,65802,123379,195455
관계자외 출입금지,SBS,목,43332,41996,62855,110199,116738
나는 몸신이다 시즌2,채널A,목,6677,3296,9151,16542,18062
기적의 형제,JTBC,수목,17031,40857,38706,150532,243393
구해줘 홈즈,MBC,목,32686,24959,30021,118638,130516
꼬리에 꼬리를 무는 그날 이야기,SBS,목,70388,67678,115476,244515,228462
홍김동전,KBS2,목,54904,12163,75213,133117,101350
텐트 밖은 유럽 노르웨이편,tvN,목,44190,62383,95763,163724,257954
미스터로또,TV CHOSUN,목,34266,47865,125747,123898,230306
댄스가수 유랑단,tvN,목,61980,63841,99230,184231,269497
세컨 하우스2,KBS2,목,42172,35967,68839,125381,197904
관계자외 출입금지,SBS,목,36944,47830,68708,106570,148651
나는 몸신이다 시즌2,채널A,목,2817,8062,8071,12933,34099
기적의 형제,JTBC,수목,27443,34611,50120,121192,187754
구해줘 홈즈,MBC,목,25572,58227,55490,75506,179131
꼬리에 꼬리를 무는 그날 이야기,SBS,목,106535,59398,124014,257468,270690
홍김동전,KBS2,목,30545,43083,48730,88356,129507
미스터로또,TV CHOSUN,목,37915,45526,102550,97856,242670
댄스가수 유랑단,tvN,목,54534,72314,87783,182434,251512
세컨 하우스2,KBS2,목,50403,44676,56787,107310,193428
나는 몸신이다 시즌2,채널A,목,7870,3719,14741,10999,26485
기적의 형제,JTBC,수목,20480,39176,42349,84730,193927
불꽃밴드,MBN,목,9432,18490,10162,45775,77054
알쓸별잡,tvN,목,28198,36913,46546,126666,127937
국민사형투표,SBS,목,70023,72276,92221,162622,366624
삼백만 년 전 야생 탐험 : 손둥 동굴,tvN,목,23819,29598,44744,79355,153555
이 연애는 불가항력,JTBC,수목,19139,27581,20096,67263,174541
구해줘 홈즈,MBC,목,29782,35151,61195,85131,127403
꼬리에 꼬리를 무는 그날 이야기,SBS,목,111778,52868,86771,199935,221293
홍김동전,KBS2,목,33289,34361,59425,102283,88950
미스터로또,TV CHOSUN,목,24914,61140,104912,89067,235427
나는 몸신이다 시즌2,채널A,목,4625,7616,5859,27558,29138
불꽃밴드,MBN,목,19675,13343,20456,52805,85416
알쓸별잡,tvN,목,9165,27730,46985,109769,155958
국민사형투표,SBS,목,54007,33222,80264,158885,306673
삼백만 년 전 야생 탐험 : 손둥 동굴,tvN,목,10274,37611,42366,60401,128405
이 연애는 불가항력,JTBC,수목,21454,26418,26359,65779,193378
나만 믿고 따라와 도시어부5,채널A,목,7805,29799,14985,41059,94233
KBS 대기획 ㅇㅁㄷ 지오디,KBS2,목,51742,57307,182791,154997,212116
구해줘 홈즈,MBC,목,28020,18381,47324,86976,110439
꼬리에 꼬리를 무는 그날 이야기,SBS,목,75038,55158,110877,163835,243143
홍김동전,KBS2,목,13318,21028,53299,62299,89590
미스터로또,TV CHOSUN,목,22798,43001,132057,91637,212131
불꽃밴드,MBN,목,18786,16115,16212,15377,90334
국민사형투표,SBS,목,37394,56594,61657,126577,227948
이 연애는 불가항력,JTBC,수목,21871,24755,23533,111543,185709
나만 믿고 따라와 도시어부5,채널A,목,4678,25261,12974,40735,99496
출장 소통의 신 - 서진이네편,tvN,목,103344,63874,105092,243255,255106
싱어게인3,JTBC,목,118763,12160,72870,276198,286389
어쩌다 사장 3,tvN,목,63923,85953,161226,435566,421183
구해줘 홈즈,MBC,목,17499,42696,48943,82642,113195
꼬리에 꼬리를 무는 그날 이야기,SBS,목,72692,45083,110192,197715,167134
홍김동전,KBS2,목,27464,30495,47978,85816,96235
미스터로또,TV CHOSUN,목,20373,41796,115377,90442,184177
국민사형투표,SBS,목,64586,40889,98810,105084,221263
나만 믿고 따라와 도시어부5,채널A,목,9957,27836,11095,33918,110135
싱어게인3,JTBC,목,86319,83303,88646,237102,420298
어쩌다 사장 3,tvN,목,119181,95082,122960,404418,445672
서치미,KBS2,목,9266,19510,20422,54816,43145
푸바오와 할부지,SBS,목,59677,63886,186167,170257,184808
코리아 온 스테이지 인 런던,KBS2,목,18719,3520,27449,22590,40441
구해줘 홈즈,MBC,목,46331,25595,46224,120811,108082
꼬리에 꼬리를 무는 그날 이야기,SBS,목,63733,43734,107638,178409,163591
홍김동전,KBS2,목,22689,13935,51947,69697,75932
미스터로또,TV CHOSUN,목,33667,34770,148854,74231,138655
나만 믿고 따라와 도시어부5,채널A,목,5495,17985,12443,26206,78663
싱어게인3,JTBC,목,74537,65711,60807,212704,329551
어쩌다 사장 3,tvN,목,163380,101700,127947,429574,370417
서치미,KBS2,목,3253,10528,19815,30967,25300
푸바오와 할부지,SBS,목,48070,56312,159461,184754,182252
미스트롯3,TV CHOSUN,목,69687,148062,316556,267108,472407
