프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
* 라디오스타,MBC,수,51194,93838,98155,269960,372642
유 퀴즈 온 더 블럭,tvN,수,86979,123239,169086,340393,328680
옥탑방의 문제아들,KBS2,수,50775,44045,65230,152230,262217
골 때리는 그녀들,SBS,수,87370,90721,125853,247152,485128
요즘 남자 라이프 - 신랑수업,채널A,수,9246,19199,27284,34395,88471
겉과 속이 다른 해석남녀,MBN,수,3893,16285,30236,23572,46833
세계 다크투어,JTBC,수,22119,45090,36848,101705,150424
일타강사,MBC,수,53033,49757,69076,127288,275899
복덩이들고,TV CHOSUN,수,45356,66378,61145,75923,174721
순정파이터,SBS,수,32151,30425,52431,102902,150655
* 라디오스타,MBC,수,54480,104696,106450,275730,352700
유 퀴즈 온 더 블럭,tvN,수,65436,103270,136512,309070,258939
옥탑방의 문제아들,KBS2,수,57823,56678,87279,130216,275192
골 때리는 그녀들,SBS,수,99217,97202,144324,258992,452011
요즘 남자 라이프 - 신랑수업,채널A,수,5947,11182,32225,30736,69768
겉과 속이 다른 해석남녀,MBN,수,10167,5736,10304,16384,21131
세계 다크투어,JTBC,수,8832,28129,35168,80572,128058
일타강사,MBC,수,42150,59287,83654,135557,198225
순정파이터,SBS,수,18618,36640,45417,118643,133066
부부 선수촌 - 이번 생은 같은 편,TV CHOSUN,수,9387,21521,24503,26548,82714
피크타임,JTBC,수,11746,12970,61857,42251,57490
* 라디오스타,MBC,수,72275,79186,108414,260030,322058
유 퀴즈 온 더 블럭,tvN,수,63552,91101,150086,275258,279344
옥탑방의 문제아들,KBS2,수,23575,48506,83183,137635,218028
골 때리는 그녀들,SBS,수,123761,94966,169117,282413,451394
요즘 남자 라이프 - 신랑수업,채널A,수,8009,12372,25778,41250,61855
일타강사,MBC,수,29602,49714,63731,140688,211414
순정파이터,SBS,수,14868,53699,42947,90560,115555
부부 선수촌 - 이번 생은 같은 편,TV CHOSUN,수,4878,20024,20974,29678,67450
피크타임,JTBC,수,6975,9050,31633,36316,30930
편먹고 공치리5 승부사들,SBS,수,32789,53031,49950,121906,252082
* 라디오스타,MBC,수,32044,40698,88235,192335,223145
유 퀴즈 온 더 블럭,tvN,수,60016,65972,139471,237126,241895
옥탑방의 문제아들,KBS2,수,44272,44305,88325,144243,213478
골 때리는 그녀들,SBS,수,122130,101149,137162,268289,482741
요즘 남자 라이프 - 신랑수업,채널A,수,3774,11243,23272,40116,50673
일타강사,MBC,수,20233,31565,80002,93325,154935
피크타임,JTBC,수,6329,7618,23218,30353,40968
편먹고 공치리5 승부사들,SBS,수,29487,40946,33167,76902,230955
* 라디오스타,MBC,수,46110,49704,77140,212050,217844
유 퀴즈 온 더 블럭,tvN,수,47102,97254,128297,285160,276513
옥탑방의 문제아들,KBS2,수,42351,33818,105436,112083,206262
골 때리는 그녀들,SBS,수,110399,106915,155093,306260,479524
요즘 남자 라이프 - 신랑수업,채널A,수,3984,11635,20967,26319,61381
일타강사,MBC,수,27988,33255,59636,84362,124372
결혼 말고 동거,채널A,수,3912,1188,4848,11769,17074
편먹고 공치리5 승부사들,SBS,수,15461,41925,41740,96950,200128
트랄랄라 브라더스,TV CHOSUN,수,22541,26697,81029,64821,176709
사이아트 코리아,tvN,수,8152,12559,16369,17464,38450
* 라디오스타,MBC,수,66405,80957,67553,208315,311761
유 퀴즈 온 더 블럭,tvN,수,70999,103289,155870,248431,265688
옥탑방의 문제아들,KBS2,수,60560,32434,87629,132148,192640
골 때리는 그녀들,SBS,수,140861,89888,120176,295703,405537
요즘 남자 라이프 - 신랑수업,채널A,수,2963,8618,16588,30377,41282
일타강사,MBC,수,39031,32965,75142,89083,176491
결혼 말고 동거,채널A,수,154,2805,5866,6497,4562
과학수사대 스모킹건,KBS2,수,43408,48599,56084,82700,156913
트랄랄라 브라더스,TV CHOSUN,수,15587,33883,76408,52178,150549
손대면 핫플! 동네멋집,SBS,수,46571,32990,82144,109166,166183
SHINee’s 15m,JTBC,수,7960,2730,0,14229,48244
라디오스타,MBC,수,65945,73319,61267,203337,297205
유 퀴즈 온 더 블럭,tvN,수,72608,82958,111038,219985,251913
옥탑방의 문제아들,KBS2,수,44107,38042,98897,133465,215658
골 때리는 그녀들,SBS,수,118468,99498,144977,328450,454109
요즘 남자 라이프 - 신랑수업,채널A,수,845,17592,28985,29594,62689
과학수사대 스모킹건,KBS2,수,46299,28195,69557,110223,164541
트랄랄라 브라더스,TV CHOSUN,수,22918,37180,80100,56718,192301
손대면 핫플! 동네멋집,SBS,수,42676,63221,83346,154297,230478
"셰프들의 치킨 전쟁, 닭, 싸움",JTBC,수,20579,14314,37190,82161,58761
라디오스타,MBC,수,62178,83260,72023,190711,302160
유 퀴즈 온 더 블럭,tvN,수,56490,89097,110806,211830,244820
옥탑방의 문제아들,KBS2,수,52938,45961,63796,101558,183725
골 때리는 그녀들,SBS,수,113726,107870,156335,266576,491683
요즘 남자 라이프 - 신랑수업,채널A,수,8669,18939,36557,38698,57346
과학수사대 스모킹건,KBS2,수,35360,45922,54012,73209,188034
트랄랄라 브라더스,TV CHOSUN,수,13713,38887,92707,48496,159276
"셰프들의 치킨 전쟁, 닭, 싸움",JTBC,수,11026,16460,11946,46566,49415
유 퀴즈 온 더 블럭,tvN,수,84106,49907,86550,192391,195822
