프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
구해줘 홈즈,MBC,목,39200,29936,75456,119304,152912
꼬리에 꼬리를 무는 그날 이야기,SBS,목,65418,51947,121661,182745,175023
홍김동전,KBS2,목,37272,24980,72326,110179,85043
소년판타지 - 방과후 설렘 시즌2,MBC,목,7587,9793,12351,23637,52002
"나만 믿고 먹어봐, 도시횟집",채널A,목,6810,18330,15231,20121,53499
고기서 만나,채널A,목,2812,2047,11021,10449,21243
신들의 사생활2:그리스 로마 신화,MBN,목,15348,15570,16901,34678,63154
나쁜엄마,JTBC,수목,165613,138753,245647,512526,693154
텐트 밖은 유럽 노르웨이편,tvN,목,45729,64070,72503,173822,261941
미스터로또,TV CHOSUN,목,23867,59965,128325,106842,271105
댄스가수 유랑단,tvN,목,43714,43697,113180,213250,225471
세컨 하우스2,KBS2,목,56289,42897,65802,123379,195455
관계자외 출입금지,SBS,목,43332,41996,62855,110199,116738
나는 몸신이다 시즌2,채널A,목,6677,3296,9151,16542,18062
기적의 형제,JTBC,수목,17031,40857,38706,150532,243393
구해줘 홈즈,MBC,목,32686,24959,30021,118638,130516
꼬리에 꼬리를 무는 그날 이야기,SBS,목,70388,67678,115476,244515,228462
홍김동전,KBS2,목,54904,12163,75213,133117,101350
텐트 밖은 유럽 노르웨이편,tvN,목,44190,62383,95763,163724,257954
미스터로또,TV CHOSUN,목,34266,47865,125747,123898,230306
댄스가수 유랑단,tvN,목,61980,63841,99230,184231,269497
세컨 하우스2,KBS2,목,42172,35967,68839,125381,197904
관계자외 출입금지,SBS,목,36944,47830,68708,106570,148651
나는 몸신이다 시즌2,채널A,목,2817,8062,8071,12933,34099
기적의 형제,JTBC,수목,27443,34611,50120,121192,187754
구해줘 홈즈,MBC,목,25572,58227,55490,75506,179131
꼬리에 꼬리를 무는 그날 이야기,SBS,목,106535,59398,124014,257468,270690
홍김동전,KBS2,목,30545,43083,48730,88356,129507
미스터로또,TV CHOSUN,목,37915,45526,102550,97856,242670
댄스가수 유랑단,tvN,목,54534,72314,87783,182434,251512
세컨 하우스2,KBS2,목,50403,44676,56787,107310,193428
나는 몸신이다 시즌2,채널A,목,7870,3719,14741,10999,26485
기적의 형제,JTBC,수목,20480,39176,42349,84730,193927
불꽃밴드,MBN,목,9432,18490,10162,45775,77054
알쓸별잡,tvN,목,28198,36913,46546,126666,127937
국민사형투표,SBS,목,70023,72276,92221,162622,366624
삼백만 년 전 야생 탐험 : 손둥 동굴,tvN,목,23819,29598,44744,79355,153555
이 연애는 불가항력,JTBC,수목,19139,27581,20096,67263,174541
