프로그램명,채널,요일,10대(시청자수),20대(시청자수),30대(시청자수),40대(시청자수),50대(시청자수)
* 라디오스타,MBC,수,66405,80957,67553,208315,311761
유 퀴즈 온 더 블럭,tvN,수,70999,103289,155870,248431,265688
옥탑방의 문제아들,KBS2,수,60560,32434,87629,132148,192640
골 때리는 그녀들,SBS,수,140861,89888,120176,295703,405537
요즘 남자 라이프 - 신랑수업,채널A,수,2963,8618,16588,30377,41282
일타강사,MBC,수,39031,32965,75142,89083,176491
고딩엄빠 3,MBN,수,17452,11979,57117,65842,79134
결혼 말고 동거,채널A,수,154,2805,5866,6497,4562
과학수사대 스모킹건,KBS2,수,43408,48599,56084,82700,156913
트랄랄라 브라더스,TV CHOSUN,수,15587,33883,76408,52178,150549
손대면 핫플! 동네멋집,SBS,수,46571,32990,82144,109166,166183
SHINee’s 15m,JTBC,수,7960,2730,0,14229,48244
라디오스타,MBC,수,65945,73319,61267,203337,297205
유 퀴즈 온 더 블럭,tvN,수,72608,82958,111038,219985,251913
옥탑방의 문제아들,KBS2,수,44107,38042,98897,133465,215658
골 때리는 그녀들,SBS,수,118468,99498,144977,328450,454109
요즘 남자 라이프 - 신랑수업,채널A,수,845,17592,28985,29594,62689
고딩엄빠 3,MBN,수,830,2968,8012,12004,11597
과학수사대 스모킹건,KBS2,수,46299,28195,69557,110223,164541
트랄랄라 브라더스,TV CHOSUN,수,22918,37180,80100,56718,192301
손대면 핫플! 동네멋집,SBS,수,42676,63221,83346,154297,230478
"셰프들의 치킨 전쟁, 닭, 싸움",JTBC,수,20579,14314,37190,82161,58761
고딩엄빠4,MBN,수,7239,12292,56567,33627,99995
라디오스타,MBC,수,62178,83260,72023,190711,302160
유 퀴즈 온 더 블럭,tvN,수,56490,89097,110806,211830,244820
옥탑방의 문제아들,KBS2,수,52938,45961,63796,101558,183725
골 때리는 그녀들,SBS,수,113726,107870,156335,266576,491683
요즘 남자 라이프 - 신랑수업,채널A,수,8669,18939,36557,38698,57346
과학수사대 스모킹건,KBS2,수,35360,45922,54012,73209,188034
트랄랄라 브라더스,TV CHOSUN,수,13713,38887,92707,48496,159276
"셰프들의 치킨 전쟁, 닭, 싸움",JTBC,수,11026,16460,11946,46566,49415
고딩엄빠4,MBN,수,22899,25221,64985,62266,88850
