번호,프로그램명,장르,채널,개인 전체 시청시간,개인 전체 시청률,4-9세 남자 시청시간,4-9세 남자 시청률,4-9세 여자 시청시간,4-9세 여자 시청률,10대 남자 시청시간,10대 남자 시청률,10대 여자 시청시간,10대 여자 시청률,20대 남자 시청시간,20대 남자 시청률,20대 여자 시청시간,20대 여자 시청률,30대 남자 시청시간,30대 남자 시청률,30대 여자 시청시간,30대 여자 시청률,40대 남자 시청시간,40대 남자 시청률,40대 여자 시청시간,40대 여자 시청률,50대 남자 시청시간,50대 남자 시청률,50대 여자 시청시간,50대 여자 시청률,60대 이상 남자 시청시간,60대 이상 남자 시청률,60세 이상 여자 시청시간,60대 여자 시청률
471,식객허영만의백반기행(본) (1월),정보,TV CHOSUN,1.486756866,0.766369519,0.200328195,0.103261956,0.034979873,0.018030862,0.800387966,0.412571117,0.780535561,0.402337918,0.211327671,0.108931789,0.511249418,0.263530628,1.093431778,0.563624628,0.47588955,0.245303892,1.250441914,0.644557688,1.14076928,0.588025402,1.38841975,0.715680284,1.502569313,0.774520265,2.796632339,1.441563061,3.41951742,1.762637845
945,역전의한방(본) (1월),정보,TV CHOSUN,0.340893037,0.293873308,0.0,0.0,0.0,0.0,0.0,0.0,0.049500138,0.042672533,0.076561417,0.066001222,0.0,0.0,0.29859602,0.257410362,0.186933168,0.161149283,0.161977986,0.139636195,0.014247493,0.012282321,0.21186332,0.182640793,0.365126186,0.314763953,0.68020901,0.586387077,1.10237183,0.950320543
420,식객허영만의백반기행(본) (2월),정보,TV CHOSUN,1.450596646,0.714579629,0.277216301,0.136559754,1.240352022,0.611010848,0.224985836,0.110830461,0.157328322,0.077501637,0.523380432,0.257822873,0.424802824,0.209262475,1.285022565,0.633016042,0.312483465,0.153932742,1.297677039,0.639249773,0.747311042,0.368133518,1.372418985,0.676068465,1.52111403,0.749317256,2.905227613,1.431146607,3.288146337,1.619776521
871,역전의한방(본) (2월),정보,TV CHOSUN,0.290094081,0.187157472,0.0,0.0,0.0,0.0,0.0,0.0,0.002575129,0.001661373,0.14726895,0.095012226,0.001881411,0.001213813,0.223928591,0.144470058,0.09248758,0.059669406,0.22880866,0.14761849,0.133376984,0.086049667,0.181836544,0.117313899,0.180246618,0.11628814,0.688450281,0.444161472,0.819808848,0.528908934
441,식객허영만의백반기행(본) (3월),정보,TV CHOSUN,1.38319332,0.716680477,0.183744512,0.095204411,0.092743839,0.048053803,0.061610945,0.03192277,0.369319338,0.19135717,1.554387251,0.805381995,0.55730894,0.288761109,0.921624017,0.477525397,1.177967187,0.610345693,1.306218616,0.67679721,0.587955064,0.304639929,0.714331616,0.370120008,0.749442477,0.388312164,2.920078438,1.512994009,3.166340936,1.640591158
909,역전의한방(본) (3월),정보,TV CHOSUN,0.323999543,0.213157594,0.0,0.0,0.0,0.0,0.0,0.0,0.063139084,0.041538871,0.264056145,0.173721148,0.009223737,0.006068248,0.260403419,0.171318039,0.163356354,0.107471285,0.232826478,0.153175314,0.019625682,0.012911633,0.12196882,0.080242645,0.602783625,0.396568175,0.780768868,0.513663729,0.695624358,0.457647604
477,식객허영만의백반기행(본) (4월),정보,TV CHOSUN,1.223284457,0.630558998,0.431149142,0.222241826,0.196209193,0.101138759,0.0,0.0,0.364070098,0.187664999,0.959482629,0.494578675,0.400953745,0.206677188,1.396471,0.719830412,0.542865261,0.279827454,0.778620122,0.401350579,0.582818051,0.300421676,1.599539363,0.824504826,1.110465453,0.572404873,2.476342625,1.276465271,2.187138773,1.12739112
979,역전의한방(본) (4월),정보,TV CHOSUN,0.241569521,0.208249587,0.0,0.0,0.0,0.0,0.014080303,0.012138192,0.0,0.0,0.250780829,0.21619037,0.0,0.0,0.107133789,0.092356715,0.056897871,0.049049889,0.327768528,0.282559076,0.037677129,0.032480284,0.230995781,0.199134294,0.129962591,0.112036716,0.497016087,0.428462144,0.6139682,0.529282931
606,식객허영만의백반기행(본) (5월),정보,TV CHOSUN,0.823473731,0.571856758,0.013873527,0.009634394,0.129593671,0.089995605,0.0823393,0.05718007,0.068092442,0.047286418,0.639693815,0.444231816,0.210552158,0.146216776,0.57065786,0.396290181,0.204053897,0.141704095,0.777776572,0.540122619,0.407531453,0.283007954,1.028348976,0.714131233,0.537785342,0.373462043,1.579615023,1.096954877,1.891949993,1.313854162
1018,역전의한방(본) (5월),정보,TV CHOSUN,0.228334898,0.196840429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061011203,0.052595865,0.0,0.0,0.09355406,0.080650052,0.093664699,0.08074543,0.118589136,0.102232014,0.293885799,0.253349827,0.257532749,0.22201099,0.187758836,0.161861066,0.565168802,0.487214484,0.480977573,0.414635839
