번호,프로그램명,장르,채널,개인 전체 시청시간,개인 전체 시청률,4-9세 남자 시청시간,4-9세 남자 시청률,4-9세 여자 시청시간,4-9세 여자 시청률,10대 남자 시청시간,10대 남자 시청률,10대 여자 시청시간,10대 여자 시청률,20대 남자 시청시간,20대 남자 시청률,20대 여자 시청시간,20대 여자 시청률,30대 남자 시청시간,30대 남자 시청률,30대 여자 시청시간,30대 여자 시청률,40대 남자 시청시간,40대 남자 시청률,40대 여자 시청시간,40대 여자 시청률,50대 남자 시청시간,50대 남자 시청률,50대 여자 시청시간,50대 여자 시청률,60대 이상 남자 시청시간,60대 이상 남자 시청률,60세 이상 여자 시청시간,60대 여자 시청률
298,요즘육아금쪽같은내새끼(본),오락,채널A,2.951176183,1.288723224,0.396942662,0.173337407,0.451561892,0.197188599,0.061296727,0.02676713,0.783626372,0.342194922,0.606069399,0.264659126,1.691234345,0.738530282,0.957291661,0.418031293,2.021491869,0.882747541,2.294083162,1.00178304,5.150335793,2.249054932,2.37543309,1.037307026,4.672018043,2.040182551,3.972574939,1.734748882,6.240598879,2.725152349
497,오은영의금쪽상담소(본),오락,채널A,1.404267245,0.742998543,0.105341718,0.055736359,0.284867995,0.150723807,0.017172563,0.009086012,0.295125004,0.156150796,0.539752401,0.285583281,1.321896124,0.699415939,0.595997053,0.315342356,0.705284566,0.373166437,0.899282027,0.475810596,0.777341701,0.411291905,0.913411924,0.483286732,1.804844111,0.954943974,2.509145399,1.327590158,3.605875835,1.907870812
266,요즘육아금쪽같은내새끼(본),오락,채널A,2.74803379,0.950876744,0.439230138,0.151982747,0.280564946,0.097081296,0.602917605,0.208622009,1.468462261,0.50811843,1.238493666,0.428544521,1.995385014,0.690444642,0.991395051,0.34304327,2.635356172,0.911887949,2.72327211,0.942308688,3.067417711,1.061390212,1.425849148,0.493373408,4.865299995,1.683494808,4.154030832,1.437380911,4.90843765,1.698421332
361,오은영의금쪽상담소(본),오락,채널A,1.790879001,0.71349761,0.101297618,0.040357617,0.313379422,0.124852359,0.021832681,0.008698279,0.521847741,0.207907467,0.944338785,0.376230592,1.165014124,0.464149053,0.858101107,0.341872951,1.025683481,0.408638837,0.902047682,0.359381547,1.44037783,0.573855709,1.6243166,0.647138087,2.583315867,1.029209509,2.97002965,1.183278745,4.197883891,1.672463701
275,요즘육아금쪽같은내새끼(본),오락,채널A,2.88768699,0.788985516,0.551969214,0.150811261,0.590368992,0.161303003,2.018831026,0.551593176,1.427972176,0.390156332,1.219323578,0.333148518,0.797436934,0.217878944,1.185108597,0.323800163,2.675044524,0.730886482,1.954465238,0.534006896,3.329211099,0.909620519,1.367684124,0.373684187,4.122416837,1.126343398,3.961782612,1.082454266,6.733224822,1.839678913
378,오은영의금쪽상담소(본),오락,채널A,1.793958139,0.565917394,0.143326259,0.045213331,0.330156724,0.104150386,0.572414529,0.180572407,0.468324962,0.147736581,1.071612365,0.338048065,0.768380817,0.242391425,0.676114096,0.213285204,0.640693477,0.202111507,0.876015691,0.276345644,1.641361281,0.517779584,0.891164557,0.281124466,1.607142079,0.506984883,3.636257233,1.147084301,4.803986717,1.515453223
326,요즘육아금쪽같은내새끼(본),오락,채널A,2.1458506,0.750297413,0.360837089,0.126166814,1.609427262,0.562736805,0.251011229,0.087766164,0.350347183,0.122499015,0.836923353,0.292630543,0.871230047,0.30462589,1.183328724,0.413751302,1.862259434,0.651139662,1.644604905,0.57503668,1.720694343,0.601641379,1.066869213,0.373031193,2.928641597,1.024000559,3.784409313,1.323220039,4.641567526,1.622925708
405,오은영의금쪽상담소(본),오락,채널A,1.674603555,0.667172731,0.381390021,0.151948215,0.015164568,0.006041661,0.0,0.0,0.223589675,0.089079552,0.809854195,0.322651074,0.422866724,0.168472799,0.713221741,0.284152088,0.843016341,0.335863084,0.63391269,0.252554856,0.752824481,0.299930072,1.000613521,0.398650805,2.111242578,0.841132501,3.812020943,1.518733443,4.213522928,1.678694394
307,요즘육아금쪽같은내새끼(본),오락,채널A,2.4465156,0.849484583,0.101399523,0.035208168,1.299936273,0.451366762,0.120506859,0.04184266,1.033513786,0.358858953,1.367858471,0.474950858,0.775310263,0.269204953,1.419080332,0.492736226,2.438938668,0.846853704,1.269545673,0.44081447,2.775664827,0.963772509,1.369608085,0.475558363,3.609715547,1.253373454,4.090872526,1.420441849,4.867447677,1.690085999
329,오은영의금쪽상담소(본),오락,채널A,2.227213937,0.88733623,0.0,0.0,0.115024451,0.045826475,0.286003805,0.113945739,0.586887622,0.23381977,1.059132695,0.421965217,0.586862171,0.23380963,0.415739266,0.165633174,2.012054983,0.801615531,0.791189606,0.315214983,1.408596,0.561193625,1.158153442,0.461415714,2.349609547,0.936099421,4.912324504,1.957101396,5.674039451,2.260573487
