번호,프로그램명,장르,채널,개인 전체 시청시간,개인 전체 시청률,4-9세 남자 시청시간,4-9세 남자 시청률,4-9세 여자 시청시간,4-9세 여자 시청률,10대 남자 시청시간,10대 남자 시청률,10대 여자 시청시간,10대 여자 시청률,20대 남자 시청시간,20대 남자 시청률,20대 여자 시청시간,20대 여자 시청률,30대 남자 시청시간,30대 남자 시청률,30대 여자 시청시간,30대 여자 시청률,40대 남자 시청시간,40대 남자 시청률,40대 여자 시청시간,40대 여자 시청률,50대 남자 시청시간,50대 남자 시청률,50대 여자 시청시간,50대 여자 시청률,60대 이상 남자 시청시간,60대 이상 남자 시청률,60세 이상 여자 시청시간,60대 여자 시청률
657,천기누설(본) (1월),오락,MBN,0.77566511,0.406107388,0.126816567,0.066396109,0.0,0.0,0.584521199,0.306032041,0.009812535,0.005137453,0.431778212,0.226061891,0.275014104,0.143986442,0.569566888,0.298202559,0.65902853,0.345041115,0.468328318,0.245198072,1.053555462,0.551599718,0.724296289,0.379212717,0.787970404,0.41254995,1.026667376,0.537522186,1.711065799,0.895845968
825,알약방(본) (1월),오락,MBN,0.458110444,0.236139404,0.176463027,0.090960323,0.252817842,0.130318475,0.083944912,0.043270573,0.177465562,0.091477094,0.277859383,0.143226486,0.140507901,0.072426753,0.276208151,0.142375336,0.251457123,0.129617074,0.179422966,0.092486065,0.385180327,0.19854656,0.605537001,0.312132475,0.53475985,0.275649407,0.593819983,0.306092775,1.124643103,0.57971294
536,천기누설(본) (2월),오락,MBN,0.883653362,0.460236126,0.113181775,0.058948841,0.053574519,0.027903395,0.524529543,0.27319247,0.115960212,0.060395944,0.538401235,0.28041731,0.277388826,0.144473347,1.046494322,0.545049126,0.196472804,0.102329585,0.4602242,0.239700104,0.878700169,0.457656338,0.526136087,0.274029212,0.637824538,0.33220028,1.78177067,0.928005557,2.051813599,1.068652916
674,알약방(본) (2월),오락,MBN,0.552354879,0.287684833,0.0,0.0,0.547722304,0.285272033,0.06000462,0.031252406,0.288789243,0.150411064,0.236423921,0.123137459,0.169733791,0.088403016,0.341439158,0.177832895,0.280922325,0.146313711,0.172735044,0.089966169,0.307228753,0.160014976,0.808369561,0.421025813,0.466604489,0.243023171,0.927674861,0.48316399,1.393409757,0.725734249
515,천기누설(본) (3월),오락,MBN,1.033007596,0.432220752,0.025172468,0.010532414,0.069418265,0.029045299,0.149019964,0.062351449,0.373518984,0.156284094,0.590761992,0.24718075,0.211781096,0.088611337,0.32871781,0.137538833,0.500329636,0.209342944,1.007204656,0.421424542,0.82680452,0.345943314,0.798048798,0.333911631,1.047018,0.438082845,1.798335383,0.752441583,2.681962666,1.122160111
639,알약방(본) (3월),오락,MBN,0.713371406,0.29356848,0.024449565,0.010061549,0.326725051,0.134454754,0.026298664,0.010822495,0.250869535,0.103238492,0.179626515,0.073920376,0.284281017,0.116988073,0.567270707,0.233444735,0.534219405,0.219843376,0.306378059,0.126081506,0.598116436,0.246138451,0.711060196,0.292617365,0.711226721,0.292685893,1.161629798,0.478036954,1.812026998,0.745690123
539,천기누설(본) (4월),오락,MBN,0.944723164,0.492043314,0.027987827,0.014576993,0.259908934,0.135369236,0.344422822,0.179386887,0.174323965,0.090793732,0.321094535,0.167236737,0.218866745,0.113993096,0.690140884,0.359448377,0.349395565,0.181976857,0.427664092,0.222741714,1.15011058,0.599015927,0.652428288,0.3398064,0.832941859,0.433823885,1.602829535,0.834807049,2.428561981,1.264876032
629,알약방(본) (4월),오락,MBN,0.669823171,0.347058638,0.012145274,0.006292888,0.0,0.0,0.0,0.0,0.202573089,0.10496015,0.505334682,0.261831441,0.44393621,0.230018762,0.533566996,0.276459584,0.155958998,0.080807771,0.117043099,0.060644093,0.803882747,0.416519558,1.048122808,0.543068812,0.930078685,0.481906054,1.013253742,0.525001939,1.257800646,0.651710179
605,천기누설(본) (5월),오락,MBN,0.824303903,0.429324949,0.112563433,0.058626788,0.0,0.0,0.176635852,0.09199784,0.630311455,0.328287216,0.415650852,0.216484819,0.163063267,0.084928785,0.265117142,0.138081845,0.58363234,0.303975177,0.514481837,0.26795929,0.733944909,0.382262973,0.481977895,0.251030153,1.090059126,0.567739128,1.265966668,0.659357639,2.045448432,1.065337725
637,알약방(본) (5월),오락,MBN,0.723196681,0.374713306,0.019648938,0.010180797,0.0,0.0,0.001641008,0.000850263,0.041236404,0.021366013,0.158710382,0.082233358,0.161919012,0.083895861,0.759192638,0.393364061,0.596873565,0.309260915,0.192224911,0.099598399,0.52673503,0.272919705,0.666232272,0.345198068,0.469107782,0.243061027,1.194896696,0.619117459,2.075164775,1.075214909
