방송사,프로그램명,장르,키워드,요일,평균 시청률,
KBS1,한국인의 밥상,시사교양,"음식, 사람, 다큐",목,4.74,
KBS1,일일연속극 수지맞은 우리,드라마,"대가족, 엄마","목, 금",13.61,
KBS1,KBS 뉴스 9,뉴스,보도,"목, 금",7.11,
KBS1,KBS 뉴스라인W,뉴스,보도,"목, 금",1.89,
KBS2,일일드라마 스캔들,드라마,"미스터리, 멜로, 복수","목, 금",7.92,
KBS2,박원숙의 같이 삽시다,예능,"중년, 노후, 사람",목,3.63,*kbs 공홈에서는 시교로 분류
KBS2,수목드라마 완벽한 가족,드라마,"미스터리, 가족, 스릴러",목,2.64,
MBC,MBC 뉴스데스크,뉴스,보도,"목, 금",5.63,
MBC,실화탐사대,시사교양,"사건사고, 범죄, 탐사",목,3.94,
MBC,구해줘! 홈즈,예능,"집, 부동산",목,2.86,
SBS,SBS 8 뉴스,뉴스,보도,"목, 금",4.31,
SBS,과몰입 인생사 2,시사교양,"역사, 토크, 전문가",목,3.05,
SBS,꼬리에 꼬리를 무는 그날 이야기 ,예능,"사건사고, 역사, 토크",목,3.41,
KBS1,스카우트 5 얼리어잡터,시사교양,"학교, 직업, 관찰",금,2.32,
KBS1,추적 60분,시사교양,"사건사고, 범죄, 탐사",금,2.74,
KBS2,신상출시 편스토랑,예능,"음식, 대결",금,3.05,
MBC,백설공주에게 죽음을,드라마,"미스터리, 추리",금,4.56,
SBS,궁금한 이야기 Y,시사교양,"사건사고, 범죄, 탐사",금,4.65,
SBS,굿파트너,드라마,"법정, 사람, 복수, 이혼",금,13.65,
JTBC,사건반장,시사교양,"사건사고, 범죄, 전문가","목, 금",3.17,
JTBC,끝사랑,예능,"중년, 사랑, 리얼리티",목,2.1,
JTBC,이혼숙려캠프,예능,"이혼, 상담, 전문가",목,2.7,
MBN,알약방,시사교양,"노후, 건강, 정보",목,0.68,
MBN,특종세상,시사교양,"사람, 다큐",목,2.57,
MBN,돌싱글즈5,예능,"중년, 이혼, 사랑, 리얼리티",목,1.94,
TV조선,질병의 법칙,시사교양,"노후, 건강, 정보",목,0.45,
TV조선,TV조선 뉴스9,뉴스,보도,"목, 금",2.82,
TV조선,미스쓰리랑,예능,"트로트, 무대",목,4.1,
채널A,오은영의 금쪽 상담소,시사교양,"상담, 전문가",목,1.25,
채널A,아빠는 꽃중년,예능,"중년, 육아",목,1.82,
JTBC,My name is 가브리엘,예능,"사람, 가족, 해외",금,1.25,
MBN,천기누설,시사교양,"노후, 건강, 정보",금,0.89,
MBN,나쁜 기억 지우개,드라마,"미스터리, 사랑",금,0.72,
TV조선,역전의 가족,시사교양,"가족, 상담, 전문가",금,0.49,
채널A,요즘 육아 금쪽같은 내 새끼,예능,"가족, 육아, 상담, 전문가",금,1.63,
채널A,남의 나라 살아요 선 넘은 패밀리,예능,"해외, 가족, 관찰",금,1.31,
tvn,언니네 산지직송,예능,"관찰, 리얼리티, 음식",목,4.59,
